T_TL_TIMELINE_DATA_UID,T_TL_TIMELINE_DATA_UID,process01,waiting1-2,processing02,waiting2-3,process03,waiting3-4,processing4,waiting4-5,processing5,waiting5-6,processing6,waiting6-7,processing7,waiting7-8,processing8,waiting8-9,processing9,
152237,152237,35,10,49,6,6,4,7,11,9,40,25,38,27,55,32,95,41,490
152239,152239,35,10,50,6,7,3,7,14,14,26,25,43,26,63,32,109,32,502
152241,152241,35,6,46,10,7,3,7,23,10,23,24,46,31,72,33,77,57,510
152243,152243,36,16,56,5,8,3,7,13,12,21,24,55,37,65,33,80,52,523
152245,152245,35,12,51,9,8,3,8,17,13,21,24,55,35,70,33,70,54,518
152247,152247,35,10,58,6,9,3,7,12,10,32,25,64,30,62,33,73,69,538
152249,152249,36,14,64,6,9,5,20,17,10,14,24,51,29,63,32,103,41,538
152251,152251,35,9,50,14,8,4,7,20,12,22,24,48,34,71,33,82,58,531
152253,152253,36,14,53,9,10,4,7,14,11,29,25,54,40,54,33,92,42,527
152255,152255,35,8,48,8,8,4,7,21,10,53,25,42,28,51,33,102,28,511
152256,152256,35,9,52,11,12,3,8,17,15,42,24,41,26,68,32,72,29,496
152257,152257,36,31,50,6,9,3,9,17,12,29,25,46,35,55,33,72,41,509
152258,152258,35,15,45,11,8,4,7,13,11,35,24,47,29,51,32,100,76,543
152259,152259,36,6,45,11,8,3,8,13,10,45,24,43,26,52,32,132,45,539
152260,152260,35,7,51,6,10,3,7,15,10,46,24,37,28,124,33,64,48,548
152261,152261,35,12,50,7,8,3,7,16,11,36,24,116,25,56,32,67,58,563
152262,152262,36,9,54,8,10,3,56,55,10,15,25,40,28,67,32,67,48,563
152264,152264,36,66,43,34,8,3,11,22,11,14,25,44,38,61,32,63,57,568
152266,152266,35,29,49,11,8,3,6,27,11,15,24,60,26,56,32,76,54,522
152268,152268,36,10,51,28,9,3,7,19,11,18,24,44,26,68,31,70,61,516
152270,152270,35,30,49,12,9,2,9,21,10,16,25,54,26,72,31,68,44,513
152271,152271,36,19,68,6,8,3,8,13,10,16,25,56,29,65,32,55,58,507
152272,152272,34,9,51,5,8,3,8,11,10,19,25,66,28,50,33,72,48,480
152273,152273,36,15,46,11,8,3,8,14,10,32,24,42,26,66,33,60,33,467
152274,152274,35,9,53,6,7,3,7,13,11,33,25,37,43,42,32,60,35,451
152276,152276,36,7,41,15,12,9,8,15,12,13,25,46,27,38,33,66,36,439
152279,152279,36,71,44,10,9,3,12,23,12,39,24,32,35,109,33,71,45,608
152281,152281,35,7,59,19,10,4,10,16,10,28,25,92,29,48,32,83,85,592
152283,152283,36,28,44,17,10,4,7,20,10,79,25,34,27,76,32,153,26,628
152285,152285,35,11,52,14,9,3,9,56,11,29,26,50,39,91,33,162,19,649
152286,152286,35,15,49,57,9,3,7,13,9,38,25,86,32,87,32,104,50,651
152288,152288,36,114,56,4,10,7,5,12,9,19,26,76,29,97,33,116,32,681
152291,152291,35,29,55,3,10,12,6,19,10,21,25,75,30,100,34,100,29,593
152293,152293,36,33,46,3,10,30,6,13,11,24,24,97,30,63,31,98,44,599
152296,152296,36,32,48,4,8,66,5,17,11,18,24,55,26,69,33,126,25,603
152298,152298,35,23,56,3,10,60,4,18,9,16,24,57,27,77,32,102,43,596
152299,152299,35,29,49,3,14,59,6,10,9,18,24,63,28,69,31,88,51,586
152301,152301,36,28,53,3,9,59,5,9,10,17,24,54,26,59,32,94,46,564
152303,152303,35,24,51,4,8,57,5,9,9,16,25,44,29,55,32,91,39,533
152305,152305,36,22,52,3,11,3,8,19,17,31,26,45,27,57,32,143,40,572
152307,152307,35,13,59,6,7,3,7,20,12,28,25,42,29,56,32,197,42,613
152309,152309,36,13,46,13,9,3,7,22,14,18,25,41,29,113,32,134,41,596
152311,152311,35,10,48,17,7,3,7,15,11,23,25,100,28,107,32,101,70,639
152313,152313,35,13,52,11,15,11,16,26,10,44,25,51,29,114,32,149,51,684
152315,152315,35,13,64,18,8,4,6,23,10,54,25,98,36,135,32,93,40,694
152317,152317,36,31,53,8,9,3,7,21,12,114,25,114,53,67,50,63,43,709
152319,152319,35,14,53,11,10,3,9,77,10,104,24,107,44,52,33,105,112,803
152320,152320,36,16,108,10,11,4,7,151,11,28,25,74,91,18,33,163,53,839
152322,152322,35,62,57,6,11,153,5,29,12,25,24,85,33,93,33,115,75,853
152325,152325,34,27,85,61,13,75,7,14,12,21,24,81,38,100,32,115,61,800
152327,152327,36,85,51,15,9,92,6,13,10,20,24,99,29,114,33,96,36,768
152328,152328,35,39,50,27,11,63,9,41,9,32,25,102,28,61,32,85,36,685
152329,152329,35,50,42,26,11,58,7,16,12,40,24,97,31,59,32,98,49,687
152330,152330,35,65,48,20,8,3,6,23,9,96,25,48,29,60,32,100,55,662
152331,152331,35,16,50,7,11,3,8,80,11,40,25,49,30,58,32,135,53,643
152332,152332,36,9,52,60,7,4,6,27,13,52,25,30,28,72,32,134,49,636
152333,152333,35,62,58,12,8,3,7,24,11,34,24,53,26,101,33,115,68,674
152334,152334,35,41,41,5,10,4,7,32,10,18,24,48,34,110,32,125,54,630
152335,152335,35,9,52,16,8,3,8,15,11,26,24,102,28,86,32,159,49,663
152336,152336,36,17,59,7,9,4,7,16,13,69,25,59,44,77,33,169,42,686
